iso3,name,segment,eiu_score,dcpi_5_adj,nom_rir_vol,gdp_capita,growth_vol,macro_var,atf,dt,fdg_3yr,cof,pr,rol,db,sr,debt_service_ratio
ALB,ALBANIA,HIGH,0.637901514595081,3.1242,6.16614686828827,4020,2.39289166073184,4.1,4,13.555827064704,44.3515130808603,5.6,6,-0.437525047560993,42.0765027322404,3.25,6.5
ATG,ANTIGUA AND BARBUDA,HIGH,-0.472209212806389,2.0924,7.03573021879709,11080,6.21857795641415,2.2718471467412,,-0.8020000000012,46.991084247084,6.5,,0.984908568530297,27.8688524590164,1.5,
ARG,ARGENTINA,HIGH,0.830675233724683,19.8,39.3610971968216,10800,3.52761870105033,6.4,5,-18.0881474208341,31.9122199592668,9.98,6,-0.575660344450217,62.2950819672131,2.75,9.3
ARM,ARMENIA,HIGH,0.538190970217707,6.544,6.86758149702436,3350,10.3942366338274,5.2,2,8.34430532057574,61.9710144927536,7.693,3,-0.470497139073522,33.3333333333333,3.5,15.7
AUS,AUSTRALIA,HIGH,-1.54243572245691,2.9478,22.9996816515135,64110,1.28419651922905,1.9,1,-16.5634507146734,94.9965397923876,4.7,1,1.77020008715963,6.01092896174863,2,72.2
AUT,AUSTRIA,HIGH,-1.50255150470596,2.2168,32.2104904111929,49640,2.94355292121613,1.3,1,-9.33015864426707,197.49021554707,1.4,1,1.79594939059834,15.3005464480874,1.25,0.300866399609318
AZE,AZERBAIJAN,HIGH,0.903796299601426,10.5312,4.96846809973979,6340,9.34831296544997,8.048,2,-21.7252575372632,7.05710279888529,5.3,6,-0.882899473129297,37.7049180327869,3.75,2.6
BHS,BAHAMAS,HIGH,-1.21006724119899,2.7178,0,23630,2.49821496272839,3.6600051130691,,0.577374742750561,10.529670708446,5.3,,0.680417393275969,44.8087431693989,2,
BHR,BAHRAIN,HIGH,-0.299377602552267,2.2236,5.30418863884301,15600,2.48995315216974,2.7,1,7.8057870630272,57.9488867376573,0.3,6,0.449221526310191,18.0327868852459,3,8.2
BRB,BARBADOS,HIGH,-0.492151321681869,6.2084,5.27254460640686,16970,2.04392876588202,3.9,,8.34355895769763,29.464262565028,7,,1.03585052961566,,1.5,
BLR,BELARUS,HIGH,0.591369927218976,19.2696,52.981205524028,5830,3.87475280501866,1.6,6,74.6062575140271,61.170837867247,45,6,-1.04573150716387,49.7267759562842,2,6.6
BEL,BELGIUM,HIGH,1.49541219624054,2.4198,11.3391046790882,49090,2.19089541055706,0.814,1,3.11159882341274,272.88304915424,1.4,3,1.39935756390208,14.7540983606557,2,0.207643349855891
BLZ,BELIZE,HIGH,0.43183305621517,2.3274,0.977535253494376,4600,1.51861324898738,2.7,4,-8.53545026973239,73.7730690362269,,5,-0.364575226829482,50.2732240437159,2.5,11.4
BMU,BERMUDA,HIGH,-0.0733670352968817,3.049,,97070,3.64925832190597,105.33401689972,,4.83620060973856,8.969149938481,,,1.15821545386925,,1.5,
BIH,BOSNIA AND HERZEGOVINA,HIGH,-1.54243572245691,2.8962,8.80442985935856,4900,3.81313519298752,4.3,,-23.4579958270566,43.4893848666304,,,-0.364326850377214,69.3989071038251,3,6.7
BRA,BRAZIL,HIGH,-2.0409884443438,5.1766,11.3219416598711,13040,3.07118172695788,14,1,-4.54013851660051,16.3000318217979,11.7,4,0.00202016943393071,65.5737704918033,3,14.4018
BGR,BULGARIA,HIGH,-1.24995145894994,6.0326,7.19434489353679,7400,4.91390748793666,6.5,1,-22.9813802100392,84.66071166005,0.198,4,-0.0801296732386611,31.1475409836066,2.75,19.3
CAN,CANADA,HIGH,0.106111944582399,1.897,34.2515924518629,50660,2.35931424358859,1.3664338398006,1,-12.7575774754959,64.698372550305,1.17,1,1.78906865705869,6.55737704918033,1,0.160312701327283
CYM,CAYMAN ISLANDS,HIGH,-0.558625017933454,1.3118,1.04016438342497,58730,4.37307765766857,0.93574660220773,,-31.4703841378778,9.2624235566639,4.8,,0.887061696193812,,1.5,
CHL,CHILE,HIGH,-0.851109281440429,3.8718,53.3764120498574,13700,3.09098993851484,5.7,1,-6.74642748708514,42.4037663986458,5.25,2,1.2899079485481,22.4043715846995,2,11.4816
COL,COLOMBIA,HIGH,-0.751398737063049,4.4862,25.2271016908902,6940,2.10032104688783,6.2,1,-6.7127261213707,20.6293155663234,4.033,4,-0.332698862594963,25.6830601092896,3.75,14.0541
CRI,COSTA-RICA,HIGH,-1.47596202620533,8.2332,31.6446014307122,8660,3.322591052176,3.2,1,-10.151885058584,24.515260542869,21,3,0.501936044599622,66.120218579235,2,6.1
HRV,CROATIA,HIGH,-1.74185681121167,2.925,11.0853149405388,14310,4.11237526254597,7.7,1,1.88668427441563,101.199576033419,0.9,5,0.186261893792619,43.1693989071038,2.25,39.6
CUB,CUBA,HIGH,1.22287004160903,3.36,,5380,2.2680155863662,4.5,6,-1.47255256212924,35.6072539545966,,6,-0.550249630556734,,2,11.8
CYP,CYPRUS,HIGH,-0.804577694064318,2.617,6.03797667430348,30480,2.71420393485825,1.3,3,19.9296384422917,143.639967961554,1.391,3,1.1882950683363,26.775956284153,2,9.7
CZE,CZECH REPUBLIC,HIGH,-1.09041458794614,2.7254,4.80002509710472,20720,3.87984391438625,2.9,1,5.49426883285048,43.9577380952381,1.2,2,0.952990965043089,38.2513661202186,2,10.3
DNK,DENMARK,HIGH,-1.70197259346072,2.2974,18.6765769628981,59680,3.10209899906499,5.5782863507988,1,0,196.03436609547,1.058,1,1.87815005600112,2.73224043715847,1.75,0.249678706344089
ECU,ECUADOR,HIGH,-1.28983567670089,4.776,8.24598457118651,4620,3.50426243309487,1.3,5,2.32185805818421,27.7930257026905,6,7,-1.16628221960255,71.5846994535519,3.5,8.081
EST,ESTONIA,HIGH,-0.957467195442961,4.9666,19.6918078814927,16840,9.14032246695925,0.2,2,-12.5582504783924,112.293724966622,2,3,1.14842698851638,9.83606557377049,2,10.6
FIN,FINLAND,HIGH,0.106111944582399,2.4318,38.7193470595858,50310,5.41834423971013,0.879,1,18.2855390816212,204.95366945882,0.8,1,1.97109961714242,7.65027322404372,1,0.288292724009925
FRA,FRANCE,HIGH,-0.179724949299413,1.7802,15.8435276199644,43890,1.97151875466606,2.5,1,-5.07975101490633,188.23329630603,1.4,1,1.52440549742054,14.207650273224,2.25,0.410801413269026
GEO,GEORGIA,HIGH,-1.71526733271104,7.3234,8.49480436847953,3070,5.92427210718751,4.7,3,30.8785501670155,51.428815631246,8.25,5,-0.209190791759605,9.2896174863388,4,0.0399792108103786
DEU,GERMANY,HIGH,-0.252846015176162,1.7346,9.63808457441644,43820,3.65409731671175,1.8,1,-4.4018876352693,148.49153142224,1.391,1,1.62793406718831,10.3825136612022,1.75,0.254822565310348
GIB,GIBRALTAR,HIGH,-0.591861866059243,,,,,,,,,,,,,0,
GRC,GREECE,HIGH,-0.937525086567488,3.2576,13.9909957489594,26570,3.70930562235036,1.1,3,22.6917177933735,181.25330588264,1.391,3,0.615028759035103,55.1912568306011,3,0.953336749354176
GGY,GUERNSEY,HIGH,1.20957530235872,,,,,,,,,,,,,0,
HKG,HONG KONG,HIGH,-0.984056673943599,2.895,14.8513607491764,34103.9,3.94374145957871,6.5,1,48.674354890206,28.57025235684,0.13,2,1.55908852839399,1.09289617486339,1.5,0.9
HUN,HUNGARY,HIGH,-0.671630301561149,5.3974,21.4990941376128,14060,3.5317685088352,4.7,1,-4.36225052841597,132.32094017094,6.188,5,0.777048412214243,25.1366120218579,2.25,27.5
ISL,ICELAND,HIGH,-0.525388169807658,7.827,28.7692400523612,44200,5.22521953605779,14.8,3,-20.3505567721136,807.64151805731,4.257,2,1.69362133641386,7.10382513661202,1,0.443147427583225
IRN,"IRAN, ISLAMIC REPUBLIC OF",HIGH,0.245706706710732,17.4984,5.83257730423577,6670,2.70875894091741,10.7,6,-21.5985133650478,2.6704059734142,,7,-0.901377667177974,76.5027322404372,3.75,1.5
IRL,IRELAND,HIGH,-1.07711984869581,1.2276,33.0213443768165,52660,4.50610887573747,0.13029709578523,4,-7.35584442003614,990.48680041882,1.391,2,1.7628044899558,4.37158469945355,1.5,0.587935361292546
IMN,ISLE OF MAN,HIGH,1.06333317060523,,,,,,,,,,,,,0,
ISR,ISRAEL,HIGH,-0.538682909057974,2.9154,28.1631893660272,31240,1.84404888763829,9.9,1,-4.80622196948675,45.5568748711606,0.2,5,0.876554416388414,17.4863387978142,3.5,12.5
ITA,ITALY,HIGH,-0.219609167050367,2.1658,20.8964337988264,36250,2.73320218791073,3.2,3,-9.4106491213501,108.939248384,1.391,3,0.38212975825067,45.3551912568306,2.25,0.219946613187475
JAM,JAMAICA,HIGH,0.358711990338427,12.229,20.5395320869024,5600,1.91773394922236,3.6,1,7.62719332484828,95.9283196239718,7.5,4,-0.496895884202534,46.448087431694,3.75,18
JPN,JAPAN,HIGH,1.18298582385808,-0.1818,15.4467303425295,46380,3.77259625457058,15.5,1,10.8047677274875,30.673782967144,0.168,2,1.31377105988983,10.9289617486339,1.75,0.018003976997904
JEY,JERSEY,HIGH,-0.724809258562412,,,,,,,,,,,,,0,
KAZ,KAZAKHSTAN,HIGH,-0.877698759941061,10.14,40.7682794058033,10540,3.18346520320232,8.1,2,-29.0621240352779,69.9342434584755,1.46,5,-0.620742099726306,31.6939890710383,2.5,40.5
KOR,"KOREA, REPUBLIC OF",HIGH,-1.1435935449474,3.3832,13.7568781939699,22000,2.30401059025344,6.2,2,-18.3091857575592,36.2377106227106,3.091,3,0.988701436011593,8.19672131147541,2.75,6.3
KWT,KUWAIT,HIGH,0.0994645749572407,5.7522,11.2996342305648,43920,4.18272982632156,9.6,1,-39.3811829035305,26.0324189679185,1.3,4,0.544082207029201,38.7978142076503,2.5,7
LVA,LATVIA,HIGH,0.278943554836521,6.4634,41.6726210283824,12420,10.4386087051867,4.5,3,-12.5702772999833,141.427075434225,0.3,4,0.815084556690273,16.9398907103825,2,53.2
LBN,LEBANON,HIGH,-0.957467195442961,5.5348,5.62995618419165,9320,3.07213280962917,17.3,2,-11.3236465046215,73.5927156453748,3.927,6,-0.662724017890279,56.2841530054645,3.75,16.3
LBY,LIBYAN ARAB JAMAHIRIYA,HIGH,-0.784635585188839,6.3762,4.71410151518427,9230,13.7797425665358,96.5,5,0.880506617513386,8.62272396212673,5,7,-0.97580320805527,,2,11.1
LIE,LIECHTENSTEIN,HIGH,-0.65168819268567,,,,,,,-13.2867325708842,104.08604400778,,,1.61807493237705,,1,
LTU,LITHUANIA,HIGH,-1.54243572245691,5.2886,24.5148738928408,13140,9.42229716152064,2.9,2,-15.2302649379721,72.7989000366029,0.75,4,0.760096151120628,13.6612021857924,2,16.6
LUX,LUXEMBOURG,HIGH,-1.86815683408968,2.3532,36.6802557957777,126430,4.3070069886175,0.18414393091527,1,3.17223134464989,2131.6316140594,,1,1.82466033313849,24.0437158469945,1,0.234998069420959
MAC,MACAO,HIGH,-1.62220415795881,4.7928,15.5171584960754,67630,10.9851936168645,20.534697687213,1,-9.01098328095565,50.510983240073,0.3,3,0.707913447982732,,1.75,0.0740466493891151
MKD,"MACEDONIA, THE FORMER YUGOSLAV REP",HIGH,-0.41903025580512,3.0384,5.4100346321077,5030,2.76564744680156,3.9,2,2.62783787304299,61.6311372624674,4.8,5,-0.294693353924163,18.5792349726776,3.25,9.2
MYS,MALAYSIA,HIGH,-0.458914473556074,2.5894,9.00196699751104,9740,3.5098035984938,7.5,1,-8.29438138213261,31.5042862571711,3.196,3,0.510426529088047,12.568306010929,2.25,4.1
MLT,MALTA,HIGH,0.239059337085574,2.362,14.3884853601304,21680,2.79042263823959,0.91511300912641,,-10.0117616600938,477.99659684701,1.3,,1.47968846409063,,1.5,
MUS,MAURITIUS,HIGH,-0.904288238441692,6.105,38.3694826208487,8760,1.13292241570197,4.6,2,20.592542873386,50.7843658601436,3.7,2,0.842228311790843,11.4754098360656,1.25,3.7
MEX,MEXICO,HIGH,-0.625098714185038,4.3906,17.1127102186168,9950,4.63708985248291,4.7,1,-6.54425533779634,18.1736577762383,4.824,3,-0.56020289799021,29.5081967213115,3.75,12.5
MCO,MONACO,HIGH,-0.957467195442961,,,,,,,,,,,,,0,
NLD,NETHERLANDS,HIGH,0.0329908787056561,1.7818,27.3085791146702,50460,2.73924119054894,1,1,3.21292740181263,311.86027834393,1.4,1,1.80879991976726,15.8469945355191,1.5,0.283611240115277
ANT,NETHERLANDS ANTILLES,HIGH,0.651196253845403,3.88566666666667,6.83720410733357,23580,2.12019063608283,3.3201074618902,,26.910745483259,17.640593622173,,,0.893900362418951,,1.25,
NZL,NEW ZEALAND,HIGH,0.0529329875811356,2.9564,13.9379331547258,36150,1.77317348277037,4.9,1,-25.5361451062307,52.8329829508238,2.5,1,1.86230840079926,1.63934426229508,1.25,23.2
NOR,NORWAY,HIGH,-1.9612200088419,2.0758,31.8830362247486,97320,1.64585640321384,4.8608998407731,1,-18.1980383897988,119.2651268207,2.872,1,1.92541139839465,3.82513661202186,1.5,0.214249674295311
OMN,OMAN,HIGH,0.584722557593812,5.837,4.73773000477718,20220,4.29421578405185,6.1,1,-9.71619547140106,13.8105499438833,,6,0.669238321112202,28.9617486338798,2.25,1
PAN,PANAMA,HIGH,-0.864404020690745,4.9408,5.59701506477812,8660,3.12012510967108,1.9,1,-17.3850292049786,42.4578360145304,0.3,3,-0.129859497642389,34.4262295081967,3,6.2
PER,PERU,HIGH,-1.20341987157383,3.0804,6.29701877415247,5710,3.61878994969313,13.6,1,-24.1094845343707,21.7557991921523,5.05,5,-0.613749764244033,21.3114754098361,3.5,8.5846
POL,POLAND,HIGH,-1.88809894296516,3.4022,7.99843790034442,13480,1.8928814014618,4.7,2,10.1586119666954,62.6656304643482,4.9,2,0.686633167685506,32.24043715847,2.25,24.1
PRT,PORTUGAL,HIGH,-0.206314427800051,1.8462,25.7866241356777,22450,2.12856742904706,2.71,3,-0.800852603173204,232.20713365708,1.391,2,1.04114486532451,16.3934426229508,1.25,0.412514732669024
PRI,PUERTO RICO,HIGH,0.0462856179559718,2.7665,25.3322372794297,17550,1.23792649216341,0.57425905342462,,-32.1801417634859,57.326563334328,0.2,,0.771803779697721,22.9508196721312,1.75,
QAT,QATAR,HIGH,0.385301468839059,4.6816,21.8249130176825,104570,3.46799653979065,6.5,1,-13.8679186788514,70.1402109884203,0.5,3,0.8679183180558,20.7650273224044,2,7.8
REU,REUNION,HIGH,0.325475142212632,,,,,,,,,,,0.893900362418951,,2.25,
ROU,ROMANIA,HIGH,-1.30977778557636,6.0304,15.5911779197201,8680,5.90491320850696,7,1,0.672537799338605,72.2899146380019,7.325,5,0.0496522610410743,35.5191256830601,2,24.6
RUS,RUSSIAN FEDERATION,HIGH,0.89050156035111,10.0048,25.5661707577591,13080,6.24525745666262,14.4,1,-26.4742618074365,22.4569891891892,5.3,5,-0.783687179595118,67.7595628415301,4,9.7
SAU,SAUDI ARABIA,HIGH,-0.15978284042394,5.8744,11.3488683109575,21000,2.59742809332617,31.9,1,-6.31321304008636,18.005988614491,,6,0.161964746458854,5.46448087431694,3.25,2.1
SRB,SERBIA,HIGH,-1.27654093745057,8.95,36.9411313898922,6430,3.37927196301215,7.8,4,-14.1752273521538,70.8395933654361,12.5,5,-0.388995986918958,48.0874316939891,3.25,26.6
SYC,SEYCHELLES,HIGH,1.73471750274624,14.849,18.0977738722895,11920,4.46319608576634,2.4,4,-35.1663300340822,141.716489874638,10,3,0.0195546059962176,59.5628415300546,1.5,8.5
SGP,SINGAPORE,HIGH,,3.4736,0.409302310692053,49948.1,6.18984064415232,6.1,1,-16.8551945890245,9.08971941033832,0.38,1,1.69450965259967,0.546448087431694,1.5,0.7
SVK,SLOVAKIA,HIGH,,2.7654,35.4622424337134,17840,5.60155400759468,0.12460976064154,1,102.682694286994,73.6207937824378,1.4,3,0.581249933168448,23.4972677595628,1.5,0.0251474796807221
SVN,SLOVENIA,HIGH,,2.75,8.70040110214301,24580,5.53644228724548,0.34457195685028,1,-9.35260277717928,107.116501716733,1.2,1,1.02187638900905,20.2185792349727,1.25,0.0424548916775926
ESP,SPAIN,HIGH,,2.3672,7.89968135113733,32380,2.60132308643121,1.2,1,-11.5940763466083,153.69214970761,1.4,2,1.19455172393534,24.5901639344262,2.75,0.411083642821934
SWE,SWEDEN,HIGH,,1.8562,37.5908047189922,57260,4.33977883077007,2.552,1,-17.7206051088275,166.87698327278,2.453,1,1.94792054515025,4.91803278688525,1,0.257103832454003
CHE,SWITZERLAND,HIGH,,0.7192,10.060117212419,79800,2.10809480337104,21.488411580165,1,-19.0516954044567,206.23188542683,0.121,1,1.77860466936427,12.0218579234973,1.25,0.207806183625522
TWN,"TAIWAN, PROVINCE OF CHINA",HIGH,,1.3676,23.9772655485774,20230,4.83627591231104,14.584,1,24.1218239647322,26.9450751895806,0.703,2,1.01180953676183,13.1147540983607,2,4.5
TTO,TRINIDAD AND TOBAGO,HIGH,,8.5114,13.6633845277734,21260,3.65198576119897,13.1,2,-20.0550882135238,15.6765168735793,,3,-0.224141849905342,41.5300546448088,3,2
TUN,TUNISIA,HIGH,,3.9652,4.50134162095932,4220,3.01493752837434,3.3,2,16.715560512034,58.2163385381308,4,3,0.112625162859467,21.8579234972678,2,8.4
TUR,TURKEY,HIGH,,8.0978,8.42237161443098,9970,5.6668490362811,4.3,1,0.184783045858999,44.1824406096984,2.986,5,0.104046079006146,39.8907103825137,3.5,28.6
UKR,UKRAINE,HIGH,,14.2534,20.3676777374643,3430,9.02726928256823,3.9,4,-10.0296145971045,79.3827674567585,7,5,-0.804050250992664,81.4207650273224,3,33.3
ARE,UNITED ARAB EMIRATES,HIGH,,5.3326,11.1739055913755,50470,2.13064936111036,3.6,1,-19.5191220286555,44.3737700152071,1.748,5,0.38638157723782,19.1256830601093,2.25,7.2
GBR,UNITED KINGDOM,HIGH,,3.1732,25.6915383494252,38890,3.05461953441014,1.4,1,-6.341237064977,405.70533666468,0.874,1,1.76959605829445,3.27868852459016,2.5,0.339115303885078
USA,UNITED STATES,HIGH,,2.2206,24.7878111361397,48170,2.56932646816243,0.71661576648739,1,0.822385777011462,99.585096985642,0.2,2,1.58458472940198,2.18579234972678,2.5,0.511669143487329
URY,URUGUAY,HIGH,,7.5692,27.6542649819129,13760,2.06718571976492,10.1,1,-33.0532009025819,26.7459872281671,6.1,4,0.71651236201132,58.4699453551913,2,10
VEN,"VENEZUELA, BOLIVARIAN REPUBLIC OF",HIGH,,26.0862,15.9356722993424,10870,4.93364137326579,5.9,2,38.7055514898449,23.2570750237417,8.7,7,-1.64301166626775,95.6284153005465,3.75,5.8019
VGB,VIRGIN ISLANDS (BRITISH),HIGH,,4.16,,47920,1.70400645538683,,,,,,,,,0,
VIR,VIRGIN ISLANDS (U.S.),HIGH,,,,,,,,,,,,0.893900362418951,,1.5,
